familia,metodos,cria,edita,exclui,acao,imutavel,candidato_revisao,prioridade,faltando,rotas
"api/equipes/[id]/staff","DELETE|GET|PATCH|POST","true","true","true","false","false","false","","","api/equipes/[id]/staff/convites|api/equipes/[id]/staff"
"api","GET|POST","true","false","false","false","false","false","","","api/escalacoes/[token]"
"api/i18n/translate","POST","true","false","false","false","false","false","","","api/i18n/translate"
"api/jogadores/busca","GET","false","false","false","false","false","false","","","api/jogadores/busca"
"api/lili/campeonatos","GET","false","false","false","false","false","false","","","api/lili/campeonatos"
"api/lili/chat","POST","true","false","false","false","false","false","","","api/lili/chat"
"api/lili/equipes","GET","false","false","false","false","false","false","","","api/lili/equipes"
"api/lili/jogadores","GET","false","false","false","false","false","false","","","api/lili/jogadores"
"api/managers/busca","GET","false","false","false","false","false","false","","","api/managers/busca"
"api/managers/[id]/campeonatos","POST","true","false","false","true","false","false","","","api/managers/[managerId]/campeonatos/pedidos"
"api/managers/[id]","GET","false","false","false","true","false","false","","","api/managers/[managerId]/vinculos"
"api/mapas","GET","false","false","false","false","false","false","","","api/mapas"
"api/me/carteira/comprovante/[id]","GET","false","false","false","false","false","false","","","api/me/carteira/comprovante/[id]"
"api/me/carteira","GET|PATCH|POST","true","true","false","false","false","true","media","excluir/arquivar/cancelar","api/me/carteira|api/me/carteira/saque"
"api/me/perfil","PATCH","false","true","false","false","false","false","","","api/me/perfil"
"api/me","GET","false","false","false","false","false","false","","","api/me"
"api/notificacoes","GET|PATCH|POST","true","true","false","false","false","true","media","excluir/arquivar/cancelar","api/notificacoes|api/notificacoes/[id]/aceitar|api/notificacoes/[id]/recusar"
"api/pagamentos/campeonato/[id]","GET|POST","true","false","false","false","false","false","","","api/pagamentos/campeonato/[id]"
"api/pagamentos/inscricao","GET|POST","true","false","false","false","false","false","","","api/pagamentos/inscricao"
"api/pagamentos/vaga","GET|POST","true","false","false","false","false","false","","","api/pagamentos/vaga/claim|api/pagamentos/vaga"
"api/paypal/orders","GET|POST","true","false","false","false","false","false","","","api/paypal/orders|api/paypal/orders/[orderId]/capture"
"api/ping","GET","false","false","false","false","false","false","","","api/ping"
